title	year	budget	length	rating	votes	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	mpaa	boxoffice	actor	actress	director	writer	Short	Drama	Comedy	Documentary	Adult	Action	Romance	Thriller	Animation	Family	Crime	Horror	Music	Adventure	Fantasy	Sci-Fi	Mystery	Biography	History	Sport	Musical	Western	War	Reality-TV	News	Talk-Show	Game-Show	Film-Noir	Lifestyle	Experimental	Erotica	Commercial
'Gung Ho!': The Story of Carlson's Makin Island Raiders	1943	866898	88	6.2	898	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	4.5		2176489	Wong,Bruce(I)	McDonald,Grace	Enright,Ray	LeFrançois,W.S.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
'Til There Was You	1997	10000000	113	4.7	2214	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	PG-13	13564657	Winant,Bruce	Zima,Yvonne	Winant,Scott(I)	Holzman,Winnie	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(500) Days of Summer	2009	7500000	95	7.8	320459	4.5	4.5	4.5	4.5	4.5	4.5	14.5	34.5	14.5	14.5	PG-13	60722734	Woodward,JonMorgan	Weiss,Gelsey	Webb,Marc(I)	Weber,MichaelH.	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 Questions for the Dalai Lama	2006	100000	86	7.5	568	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	24.5		1698530	Tethong,Tenzin		Ray,Rick(II)	Ray,Rick(II)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 Things I Hate About You	1999	16000000	97	7.2	187762	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	PG-13	737720177	Zorich,Jay	Union,Gabrielle(I)	Junger,Gil	Smith,Kirsten(I)	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 to Midnight	1983	4520000	101	6.2	3722	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5		7100000	Wood,KyleJ.	Tippo,Patti	LeeThompson,J.	Roberts,William(I)	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10,000 BC	2008	105000000	109	5.0	98539	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	PG-13	269784201	Zinal,Mo	Westbury,Hannah	Emmerich,Roland	Kloser,Harald	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100 Feet	2008	10000000	104	5.6	9447	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	4.5	R	481671	Westwick,Ed	Kandech,Evelyne	Red,Eric	Red,Eric	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101 Dalmatians	1996	54000000	103	5.6	62487	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5		3273944994	Williams,Mark(I)	Richardson,Joely	Herek,Stephen	Smith,Dodie	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102 Dalmatians	2000	85000000	100	4.8	22957	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	4.5	4.5		183611771	Willcox,Tim	Watson,June(I)	Lima,Kevin	White,Noni	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
